Ticker Symbol,Company Name,Last Price,7D Return,1Y Return,Market Cap,Analysts Target,Valuation,Growth,Div Yield,Industry
EXPO.N0000,Expolanka Holdings,LK₨150.50,0,0.132,LK₨294.2b,n/a,PS1.2x,n/a,2.30%,Transportation
JKH.N0000,John Keells Holdings,LK₨193.25,-0.004,0.157,LK₨289.6b,LK₨252.97,PE25.8x,E55.5%,0.80%,Capital Goods
CTC.N0000,Ceylon Tobacco,"LK₨1,235.00",0.004,0.345,LK₨231.3b,"LK₨1,256.73",PE8.1x,E7.9%,12.00%,"Food, Beverage & Tobacco"
LOLC.N0000,LOLC Holdings,LK₨439.00,-0.005,-0.11,LK₨208.6b,n/a,PE7x,n/a,0%,Diversified Financials
LOFC.N0000,LOLC Finance,LK₨6.10,0,0.017,LK₨201.8b,n/a,PE9.4x,n/a,n/a,Diversified Financials
SLTL.N0000,Sri Lanka Telecom,LK₨71.40,0.004,-0.286,LK₨128.9b,n/a,PS1.2x,n/a,0%,Telecom
COMB.N0000,Commercial Bank of Ceylon,LK₨97.00,-0.024,0.067,LK₨128.3b,LK₨132.45,PB0.6x,E15.2%,4.60%,Banks
DIST.N0000,Distilleries Company of Sri Lanka,LK₨26.00,-0.019,0.14,LK₨119.6b,LK₨32.30,PE8.4x,S19.8%,10.80%,"Food, Beverage & Tobacco"
HNB.N0000,Hatton National Bank,LK₨191.25,-0.014,0.048,LK₨104.6b,LK₨250.77,PB0.5x,S25.0%,2.00%,Banks
CARG.N0000,Cargills (Ceylon),LK₨385.00,0,0.279,LK₨99.2b,LK₨416.50,PE16.9x,S11.1%,3.90%,Consumer Retailing
MELS.N0000,Melstacorp,LK₨83.00,-0.012,0.067,LK₨96.7b,LK₨115.90,PE10.4x,S17.4%,10.00%,"Food, Beverage & Tobacco"
SAMP.N0000,Sampath Bank,LK₨76.60,-0.013,-0.005,LK₨89.8b,LK₨127.80,PB0.6x,S4.9%,7.60%,Banks
LION.N0000,Lion Brewery (Ceylon),"LK₨1,023.75",-0.049,0.466,LK₨81.9b,"LK₨1,350.00",PE9.7x,S27.9%,4.20%,"Food, Beverage & Tobacco"
BIL.N0000,Browns Investments,LK₨5.60,0,-0.164,LK₨80.5b,n/a,PE7.4x,n/a,0%,"Food, Beverage & Tobacco"
DIAL.N0000,Dialog Axiata,LK₨9.60,0.043,-0.143,LK₨79.2b,LK₨14.30,PE5.6x,E26.7%,14.00%,Telecom
HAYL.N0000,Hayleys,LK₨101.50,0.012,0.169,LK₨76.1b,n/a,PE11.1x,n/a,5.30%,Capital Goods
LIOC.N0000,Lanka IOC,LK₨118.25,-0.019,-0.067,LK₨63.0b,LK₨149.30,PE4.1x,S6.1%,4.20%,Energy
CTHR.N0000,C T Holdings,LK₨295.00,-0.017,0.41,LK₨59.4b,n/a,PE13.6x,n/a,4.10%,Consumer Retailing
CARS.N0000,Carson Cumberbatch,LK₨290.00,0,-0.008,LK₨57.0b,n/a,PE5.3x,n/a,2.30%,"Food, Beverage & Tobacco"
NEST.N0000,Nestlé Lanka,"LK₨1,120.25",0,0.216,LK₨60.2b,"LK₨1,540.00",PE5.9x,E29.4%,6.70%,"Food, Beverage & Tobacco"
VONE.N0000,Vallibel One,LK₨48.00,0,-0.061,LK₨54.7b,n/a,PE5.6x,n/a,4.20%,Capital Goods
CCS.N0000,Ceylon Cold Stores,LK₨57.50,0.018,0.286,LK₨54.6b,LK₨75.63,PE15.9x,S13.0%,4.00%,"Food, Beverage & Tobacco"
CINS.N0000,Ceylinco Insurance,"LK₨2,400.25",0,-0.072,LK₨53.9b,n/a,PE5.5x,n/a,2.00%,Insurance
SPEN.N0000,Aitken Spence,LK₨125.00,-0.002,-0.165,LK₨50.7b,n/a,PE17.3x,n/a,3.40%,Capital Goods
HHL.N0000,Hemas Holdings,LK₨81.50,0,0.101,LK₨48.6b,LK₨101.17,PE8x,E4.5%,0.042,Capital Goods
NTB.N0000,Nations Trust Bank,LK₨124.75,-0.002,0.291,LK₨40.4b,LK₨180.52,PB0.6x,S5.3%,0.02,Banks
BREW.N0000,Ceylon Beverage Holdings,"LK₨1,900.00",0,0.583,LK₨39.9b,n/a,PE10.1x,n/a,0.039,"Food, Beverage & Tobacco"
BUKI.N0000,Bukit Darah,LK₨390.75,0,-0.058,LK₨39.9b,n/a,PE4.8x,n/a,0.01,"Food, Beverage & Tobacco"
RICH.N0000,Richard Pieris,LK₨19.50,0.01,-0.181,LK₨39.7b,n/a,PE69.5x,n/a,0.051,Capital Goods
LFIN.N0000,LB Finance,LK₨66.00,-0.012,-0.028,LK₨36.6b,LK₨92.80,PE3.7x,n/a,0.087,Diversified Financials
RCL.N0000,Royal Ceramics Lanka,LK₨32.60,0.009,0.035,LK₨36.1b,LK₨39.00,PE5.1x,S8.1%,0.089,Capital Goods
SFCL.N0000,Senkadagala Finance,LK₨375.25,-0.125,-0.01,LK₨32.4b,n/a,PE23.7x,n/a,0.005,Diversified Financials
DFCC.N0000,DFCC Bank,LK₨73.00,0,-0.048,LK₨31.6b,n/a,PB0.4x,n/a,0.04,Banks
NDB.N0000,National Development Bank,LK₨73.00,0.01,0.007,LK₨30.3b,n/a,PB0.4x,n/a,0.026,Banks
SUN.N0000,Sunshine Holdings,LK₨61.50,-0.008,0.194,LK₨30.3b,LK₨88.60,PE6.8x,S10.0%,0.065,"Food, Beverage & Tobacco"
TJL.N0000,Teejay Lanka,LK₨40.40,0.01,0.206,LK₨29.0b,LK₨49.95,PE26.1x,E51.6%,0.019,Consumer Durables
LLUB.N0000,Chevron Lubricants Lanka,LK₨120.25,-0.014,0.279,LK₨28.9b,LK₨127.45,PE7.5x,E12.1%,0.116,Materials
GLAS.N0000,PGP Glass Ceylon,LK₨29.40,0,0.185,LK₨27.9b,LK₨34.00,PE9.5x,S16.6%,0.053,Materials
ASIR.N0000,Asiri Hospital Holdings,LK₨24.20,0.013,-0.058,LK₨27.5b,n/a,PE9.6x,n/a,0,Healthcare
WIND.N0000,WindForce,LK₨20.10,0.005,0.169,LK₨27.2b,LK₨24.00,PE17.5x,E28.6%,0,Utilities
SEYB.N0000,Seylan Bank,LK₨47.00,-0.021,0.033,LK₨26.4b,n/a,PB0.5x,n/a,0.021,Banks
UAL.N0000,Union Assurance,LK₨44.70,-0.035,0.205,LK₨26.3b,n/a,PE6.9x,n/a,0.196,Insurance
PLC.N0000,People's Leasing & Finance,LK₨12.20,-0.008,0.17,LK₨26.3b,n/a,PE6.6x,n/a,0.115,Diversified Financials
AHPL.N0000,Asian Hotels and Properties,LK₨57.40,-0.009,0.256,LK₨25.4b,LK₨86.00,PS2.4x,S34.7%,0,Consumer Services
CFIN.N0000,Central Finance,LK₨110.00,0,0.138,LK₨25.0b,n/a,PE3.2x,n/a,0.041,Diversified Financials
CIC.N0000,CIC Holdings,LK₨70.00,0,-0.013,LK₨25.0b,n/a,PE2.7x,n/a,0.036,Materials
KHL.N0000,John Keells Hotels,LK₨16.80,-0.006,-0.233,LK₨24.5b,LK₨26.50,PB0.8x,S30.3%,0,Consumer Services
BRWN.N0000,Brown,LK₨114.25,-0.004,-0.088,LK₨24.3b,n/a,PB0.4x,n/a,0,Capital Goods
AAIC.N0000,Softlogic Life Insurance,LK₨64.40,-0.002,-0.154,LK₨24.2b,n/a,PE7.6x,n/a,5.80%,Insurance
HAYC.N0000,Haycarb,LK₨79.50,0.003,0.103,LK₨23.6b,LK₨106.00,PE6.3x,n/a,4.50%,Materials
LHCL.N0000,Lanka Hospitals,LK₨105.00,-0.019,-0.05,LK₨23.5b,LK₨107.00,PE15.9x,S11.8%,2.90%,Healthcare
